¿¤¥«,§Ç¸¹,¤p¦Y¦WºÙ,¥D­¹§÷/¥D¨ý,¨¯­»®Æ,Âæ®Æ/´ö©³,ªo­»/¸üÅé,²M­»/¦¬§À,§g,¦Ú,¦õ,¨Ï,«ØÄ³­»®ð°t¤ñ,¥DÃD,¤ä¼µ,­×¹¢,²M«G,¦¬§À,«e½Õ,¤¤½Õ,«á½Õ,­·¨ý­·ÀI/­×¥¿´£¿ô,¸ê®Æ¨Ó·½/°Ñ¦ÒURL
·s¥_¥«,3,²H¤ô³½¤Y,³½¼ß¤Y¡B¦×À`,¥Õ­J´Ô¡Bªàµæ,²M´ö,ªo½µ,ªàµæ,³½¤YÂA¼u,¦×À`»P´ö,¥Õ­J´Ô,ªàµæªo½µ,³½¤Y45%¡B´ö©³25%¡B¦×À`15%¡B¥Õ­J´Ô5%¡Bªàµæ10%,5,3,2,4,2,3,3,2,­J´Ô¤£©y¹L¦h,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
·s¥_¥«,4,¤E¥÷¨¡¶ê,¨¡¶ê¡B¦a¥Ê¶ê,µL/¤Ö¶qÁ¤,¿}¤ô,µL,¦B/¼ö´ö²M²n,¨¡¶ê¤f·P,¿}¤ô,Á¤¨ý¥i¿ï,§N¼ö¸üÅé,¨¡¶ê45%¡B¦a¥Ê¶ê25%¡B¿}¤ô20%¡BÁ¤/²M­»10%,4,3,1,3,2,3,3,2,²¢«×»P¤f·P¬O®Ö¤ß,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
·s¥_¥«,5,¤T®lª÷¤û¨¤,ÄÑ¥]/¶p¥Ö,¥¤ªo­»¡B³Á­»,¿},¥¤ªo,µL,¤û¨¤¶p¥Ö,¥¤ªo³Á­»,¿}­»,¯MµHµJ­»,ÄÑ¯»35%¡B¥¤ªo30%¡B¿}20%¡B¯MµH­»15%,4,4,2,1,4,2,4,4,¯MµH­»¹L­«·|­W,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
®ç¶é¥«,1,¤j·Ë¨§¤z,¨§¤z,¤K¨¤¡B®Û¥Ö¡B»¶´Ô,Âæªo¡B¦B¿},º±¥Ä,½µ»[¥i¿ï,¨§¤z,º±¥Ä,¤K¨¤®Û¥Ö»¶´Ô,º±¥Äº¯³z,Âæªo35%¡B¤K¨¤20%¡B®Û¥Ö15%¡B¿}­»15%¡B»¶´Ô15%,5,4,4,1,5,2,4,5,º±¥Ä¤Ó²¢·|¿°,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
®ç¶é¥«,2,Às¼æªá¥Í¿},ªá¥Í¡B³ÁªÞ,ªÛ³Â­»,³ÁªÞ¿},°íªGªo­»,·LÆQ,ªá¥Í,³ÁªÞ¿},ªÛ³Â/·LÆQ,°íªG§ÀÃý,ªá¥Í45%¡B³ÁªÞ30%¡BªÛ³Â15%¡B·LÆQ10%,5,3,2,1,4,2,4,4,¿}µw«×»P°íªG­»­n¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
®ç¶é¥«,3,«È®aÓI±ø,ÓI±ø,ªo½µ¡B¥Õ­J´Ô,Âæªo,½Þªo/ªo½µ,­´µæ,¦Ì»sÓI±ø,Âæªoªo½µ,¥Õ­J´Ô,­´µæ²M­»,¦Ì­»35%¡Bªo½µ25%¡B»[­»15%¡BÂæªo15%¡B­´µæ­J´Ô10%,5,4,3,3,3,2,4,3,ªo­»¤£¨¬·|²H,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
®ç¶é¥«,4,²²§ø¤û¦×ÄÑ,¤û¦×¡BÄÑ,¤K¨¤¡Bªá´Ô¡B®Û¥Ö¡BÁ¤»[,¨§Ã¤Âæªo,¤ûªo,»Äµæ½µªá,¤û¦×´ö,ÄÑÅé,¨¯­»¨§Ã¤,»Äµæ,¤û¦×35%¡B´ö30%¡B¨¯­»15%¡B¨§Ã¤10%¡B»Äµæ10%,5,5,4,2,5,2,4,5,¨§Ã¤ÄÐ«×­n±±,https://eng.taiwan.net.tw/m1.aspx?sNo=0002040
®ç¶é¥«,5,¥Ûªù¬¡³½,²H¤ô³½,Á¤¡B»[¡B½µ¡B»¶´Ô,Âæªo/¨§Ã¤,ªo­»,­»µæ½µ,³½ÂA,Âæ¥Ä,Á¤»[»¶,½µ­»,³½45%¡BÂæ¥Ä25%¡BÁ¤»[15%¡B»¶´Ô5%¡B½µ­»10%,5,3,4,3,2,3,3,2,­»®Æ¥H¥h¸{¤£À£ÂA¬°·Ç,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
·s¦Ë¥«,1,·s¦Ë¦Ì¯»,¦Ì¯»,¥Õ­J´Ô¡Bªo½µ,Âæªo,ªo½µ/½Þªo,ªàµæ,¦Ì¯»¦Ì­»,¦×Àê/´ö©³,¥Õ­J´Ô,ªo½µªàµæ,¦Ì¯»35%¡Bªo½µ20%¡B¦×Àê20%¡B­J´Ô10%¡Bªàµæ15%,5,4,3,3,3,3,4,3,¦Ì¯»§l´ö¬O®Ö¤ß,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¥«,2,°^¤Y´ö,°^¤Y¡B²M´ö,¥Õ­J´Ô,ÆQÂA´ö,¤Ö¶qªo½µ,ªàµæ,°^¤YÂA¼u,²M´ö,¥Õ­J´Ô,ªàµæ,°^¤Y45%¡B²M´ö30%¡B¥Õ­J´Ô10%¡Bªàµæ15%,5,3,2,4,2,3,3,2,´ö­n²M¤£¿B,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¥«,3,·s¦Ë¦×¶ê,¥~¥Ö¡B½Þ¦×À`,¤­­»¡B¥Õ­J´Ô,²¢»¶Âæ/»[ªd,¬µ/»]ªo­»,­»µæ,¦×À`¥~¥Ö,Âæ¥Ä,¤­­»­J´Ô»[,­»µæ,¦×À`30%¡B¥~¥Ö25%¡BÂæ¥Ä25%¡B¤­­»10%¡B»[­»10%,5,4,3,2,3,3,4,3,Âæ¥Ä¹L«p·|À£¥Ö­»,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¥«,4,Ý¢¤Y¦Ì¯»,¦Ì¯»¡B°^¤Y,¥Õ­J´Ô¡B»[¶p,²M´ö,ªo½µ,ªàµæ,¦Ì¯»°^¤Y,´ö©³,­J´Ô»[¶p,ªàµæªo½µ,¦Ì¯»25%¡B°^¤Y25%¡B¥Õ­J´Ô15%¡Bªo½µ20%¡Bªàµæ15%,5,4,3,4,3,4,4,2,­J´Ô»Pªo½µ¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¥«,5,¼í»æ,»æ¥Ö¡B½­µæ¡Bªá¥Í¯»,­J´Ô¯»,²¢Âæ/ªá¥Í¯»,µL/¤Ö¶qªo,­»µæ,»æ¥Ö½­µæ,ªá¥Í¯»,­J´Ô²¢Âæ,­»µæ,½­µæ35%¡Bªá¥Í¯»25%¡B»æ¥Ö20%¡B­J´Ô5%¡B­»µæ15%,4,3,3,5,2,5,3,2,ªá¥Í¯»¤Ó¦h·|¿°,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¿¤,1,«È®aÓI±ø,ÓI±ø,ªo½µ¡B¥Õ­J´Ô,Âæªo,½Þªo/ªo½µ,­´µæ,¦Ì»sÓI±ø,ªo½µÂæªo,¥Õ­J´Ô,­´µæ,¦Ì­»35%¡Bªo½µ25%¡BÂæªo15%¡B¥Õ­J´Ô10%¡B­´µæ15%,5,4,3,3,3,2,4,3,ªo½µ¬O­·¨ý®Ö¤ß,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¿¤,2,Á¤µ·¤j¸z,½Þ¤j¸z,Á¤µ·¡B¥Õ­J´Ô,¾L¡BÂæªo,ª£ªo,»Ä­»,¤j¸z¤f·P,»Ä¾LÂæ¥Ä,Á¤­J´Ô,»Ä­»¾É¨ý,¤j¸z35%¡BÁ¤µ·25%¡B¾L20%¡BÂæªo10%¡B­J´Ô10%,5,3,5,4,2,4,3,2,»ÄÁ¤¤ñ¨Ò¨M©w¦¨±Ñ,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¿¤,3,«È®a¤pª£,¾{³½¡B¨§¤z¡B¦×µ·,»[¡B»¶´Ô¡B­J´Ô,Âæªo,ª£ªo,½µªà,¾{³½¨§¤z¦×,ÂæªoÁç®ð,»[»¶­J´Ô,½µªà,¥D®Æ40%¡BÂæªo20%¡B»[»¶20%¡Bªo­»10%¡B½µªà10%,5,5,4,2,4,3,5,4,Áç®ð»PÄÐ­»­n¨¬,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¿¤,4,µæ¥],¦Ì¥Ö¡BÅÚ½³µ·À`,¥Õ­J´Ô¡B½¼¦Ì,Âæªo,ªo½µ,ªàµæ/½µ,¦Ì¥ÖÅÚ½³,½¼¦Ìªo½µ,¥Õ­J´Ô,²M­»,¦Ì¥Ö35%¡BÅÚ½³µ·30%¡B½¼¦Ìªo½µ20%¡B­J´Ô10%¡B²M­»5%,5,4,3,2,3,2,4,3,À`®Æ¤ô¤À­n±±,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¦Ë¿¤,5,¾Ý¯ù,¯ù¡BªÛ³Â¡Bªá¥Í¡B½\ª«,¤Ö¶qÆQ,µL,°íªGªo¯×,¯ù­»,¯ù­»,ªÛ³Âªá¥Í,ÆQ¨ý,¯ù´ö¸üÅé,¯ù30%¡BªÛ³Â25%¡Bªá¥Í25%¡B¦Ì­»15%¡BÆQ5%,5,4,2,3,4,4,4,4,°íªG¹L­«·|À£¯ù­»,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
­]®ß¿¤,1,¾Ý¯ù,¯ù¡BªÛ³Â¡Bªá¥Í,¤Ö¶qÆQ,µL,°íªGªo¯×,¯ù­»,¯ù­»,ªÛ³Âªá¥Í,ÆQ¨ý,¯ù´ö,¯ù30%¡BªÛ³Â25%¡Bªá¥Í25%¡B¦Ì­»15%¡BÆQ5%,5,4,2,3,4,4,4,4,¯ù»P°íªG­n¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
­]®ß¿¤,2,¯ó¥Jã_,Äz¦Ì¥Ö¡BÅÚ½³µ·/¨§¨F,¦ã¯ó,Âæªo/¿},ªo½µ/µL,¯ó¥»²M­»,¦ã¯ó¦Ì­»,À`®Æ,­J´Ô/¿},»]®ð¼ô¤Æ,Äz¦Ì35%¡B¦ã¯ó25%¡BÀ`®Æ30%¡B­×¹¢10%,5,3,2,3,3,3,4,3,¦ã¯ó¹L­«·|­W,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
­]®ß¿¤,3,«È®aÓI±ø,¦ÌÓI±ø,ªo½µ¡B¥Õ­J´Ô,Âæªo,½Þªo,­´µæ,ÓI±ø¦Ì­»,ªo½µÂæªo,¥Õ­J´Ô,­´µæ,¦Ì­»35%¡Bªo½µ25%¡BÂæªo15%¡B­J´Ô10%¡B­´µæ15%,5,4,3,3,3,2,4,3,ªo­»¤£°÷·|Á¡,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
­]®ß¿¤,4,ºÖµæ¦×¤ù´ö,ºÖµæ¡B½Þ¦×¤ù,Á¤µ·¡B¥Õ­J´Ô,ÆQÂA´ö,µL,»Äµæ²M­»,ºÖµæ»Ä­»,¦×¤ù´ö,Á¤­J´Ô,»Ä­»¦¬§À,ºÖµæ35%¡B¦×¤ù30%¡BÁ¤15%¡B­J´Ô10%¡B´ö©³10%,5,3,4,4,2,4,3,2,ºÖµæÄÐ«×»Ý±±,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
­]®ß¿¤,5,¨{ÂÀ»æ,¶p»æ¡B¿}À`,ªÛ³Â/³Á­»,¿},ªo¶p,µL,¶p¥Ö,¿}À`,ªÛ³Â,¯MµH­»,¶p¥Ö40%¡B¿}À`35%¡Bªo¶p15%¡BªÛ³Â10%,4,4,2,1,4,2,4,4,²¢«×¹L°ª·|¿°,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x¤¤¥«,1,¤Ó¶§»æ,³ÁªÞ¿}¡B¶p¥Ö,·LÆQ,¿}À`,ªo¶p,µL,³ÁªÞ¿},¶p¥Ö,·LÆQ,ªo¶p¦¬§À,³ÁªÞ¿}40%¡B¶p¥Ö30%¡Bªo¯×20%¡B·LÆQ10%,5,4,2,1,4,2,4,4,·LÆQ¯à¨¾¿°,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x¤¤¥«,2,¤jÄÑÃ¼,²ÊÄÑÃ¼´ö,­´µæ¡B­J´Ô,ÄÐ´ö,ªo½µ,­´µæ,ÄÑÃ¼¤f·P,´ö©³,­J´Ô,­´µæªo½µ,ÄÑÃ¼45%¡B´ö©³25%¡B­´µæ15%¡Bªo½µ10%¡B­J´Ô5%,5,3,2,3,3,2,4,3,ÆP¨ý»P´ö¨ý»Ý¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x¤¤¥«,3,²Ä¤G¥«³õ¦×¥],ÄÑ¥Ö¡B¦×À`,­J´Ô¡B½µÁ¤,Âæªo,¦×¥Äªo­»,½µ,¦×À`,ÄÑ¥Ö,­J´ÔÁ¤½µ,»]®ð¼ô¤Æ,¦×À`40%¡BÄÑ¥Ö30%¡B½µÁ¤15%¡BÂæªo10%¡B­J´Ô5%,5,4,3,2,4,2,4,4,¦×¥Ä»PÄÑ¥Ö¤ñ¨Ò­«­n,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x¤¤¥«,4,¬Ã¯]¥¤¯ù,¯ù¡B¥¤¡B¬Ã¯],µL/µJ¿}­»,¿}¼ß,¥¤¯×,¯ù­»,¯ù¥¤,¬Ã¯]¤f·P,¿}­»,¯ù­»¦¬§À,¯ù35%¡B¥¤30%¡B¬Ã¯]20%¡B¿}15%,5,4,2,3,3,4,4,3,²¢«×»P¯ù¨ý¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x¤¤¥«,5,ªF¬u»¶´ÔÂæ¤p¦Y,¦×/ÄÑ/¬µª«,»¶´Ô¡B»[,²¢»¶Âæ,¬µªo/©Õªo,½µ­»,¤p¦Y¥DÅé,Âæ®Æ,»¶»[,Âæ¥Ä¾É¨ý,¥D­¹§÷40%¡BªF¬uÂæ30%¡B»[»¶15%¡Bªo­»10%¡B²M­»5%,5,3,5,2,3,3,4,3,Âæ®Æ®e©ö·m¥DÅé,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹ü¤Æ¿¤,1,¹ü¤Æ¦×¶ê,¥~¥Ö¡B¦×À`¡Bµ«¤B,¤­­»¡B¥Õ­J´Ô,²¢»¶Âæ¡B»[ªd,ªo¬µ/»]­»,­»µæ,¦×À`¥~¥Ö,Âæ¥Ä,¤­­»­J´Ô»[,Âæ¥Ä¦¬§À,¦×À`30%¡B¤­­»15%¡B¥Õ­J´Ô10%¡B²¢»¶Âæ25%¡B»[ªd20%,5,4,4,2,3,3,4,3,Âæ¥Ä¬O±j¨Ï,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹ü¤Æ¿¤,2,òi¦×¶º,òi¦×¡B¥Õ¶º,¤K¨¤¡B®Û¥Ö¡B¥Õ­J´Ô,Âæªo¦B¿},½Þªo,¾Mµæ,òi¦×,¥Õ¶ºº±¥Ä,¨¯­»,¾Mµæ²M¤f,òi¦×45%¡Bº±¥Ä25%¡B¤K¨¤®Û¥Ö10%¡B½Þªo10%¡B¾Mµæ10%,5,5,3,2,5,2,4,5,ªÎ¿°»Ý¾Mµæ¥­¿Å,https://www.moa.gov.tw/theme_data.php?id=4731&sub_theme=agri&theme=news
¹ü¤Æ¿¤,3,¿ß¹«ÄÑ,ªoÄÑ¡B¦×Àê¡B´ö,¥Õ­J´Ô¡Bªo½µ,Âæªo´ö©³,ªo½µ,ªàµæ,ÄÑ»P¦×Àê,´ö©³,­J´Ô,ªàµæªo½µ,ÄÑ35%¡B¦×Àê25%¡B´ö©³20%¡B­J´Ô5%¡Bªàµæ15%,5,4,2,3,3,3,4,3,´ö»P¦×Àê­n³s±µ,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹ü¤Æ¿¤,4,³À´ä³H¥J·Î,³H¥J¡B³J¡B¯»¼ß,»[ªd¡B­J´Ô,²¢»¶Âæ,·Îªo,«Cµæ,³H¥J,³J¯»¼ß,»[­J´Ô,²¢»¶Âæ,³H¥J35%¡B³J¯»¼ß25%¡B²¢»¶Âæ25%¡B»[ªd10%¡B­J´Ô5%,5,3,3,3,2,3,4,2,Âæ­n°t®ü¨ý,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¹ü¤Æ¿¤,5,¤û¦Þ»æ,Á¡»æ¡B¿}À`,ªÛ³Â/³Á­»,¿},¯MµHªo¶p,µL,Á¡»æ¶p­»,¿}À`,ªÛ³Â,¯MµH¦¬§À,¶p¥Ö45%¡B¿}30%¡BªÛ³Â10%¡Bªo¶p15%,4,4,2,1,4,2,4,4,¯N¦â¹L­«·|­W,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«n§ë¿¤,1,«n§ë·NÄÑ,ªo¬µ·NÄÑ¡B¦×Àê,ªo½µ¡B¥Õ­J´Ô,Âæªo¦×Àê,ªo½µ,«Cµæ/­´µæ,·NÄÑÄÑ­»,¦×Àê,­J´Ô,ªo½µ,ÄÑ­»30%¡B¦×Àê30%¡Bªo½µ20%¡B­J´Ô10%¡B»[¶p10%,5,4,3,2,4,2,4,4,¬µÄÑ­»¬O®Ö¤ß,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«n§ë¿¤,2,¦Ë¤sµfÁ¦¥],µfÁ¦¥Ö¡BÀ`®Æ,­J´Ô/ªo½µ,Âæªo,ªo½µ,ÅÚ½³µ·²M­»,µfÁ¦¥Ö,À`®Æ,­J´Ôªo½µ,»]¼ô,µfÁ¦35%¡BÀ`®Æ35%¡Bªo½µ15%¡B­J´Ô10%¡B²M­»5%,5,3,3,2,3,2,4,3,¥ÖÀ`¤ñ¨Ò¨M©w¤f·P,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«n§ë¿¤,3,®H¨½¦Ì¯»,¦Ì¯»,¥Õ­J´Ô¡Bªo½µ,´ö/Âæªo,ªo½µ,ªàµæ,¦Ì¯»,´ö©³,­J´Ô,ªàµæªo½µ,¦Ì¯»35%¡B´ö©³25%¡Bªo½µ20%¡B­J´Ô10%¡Bªàµæ10%,5,3,3,3,3,3,4,3,ªo½µ¤£¥iµJ­W,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«n§ë¿¤,4,²Ð¿³­»¸z,½Þ¦×­»¸z,²Ð¿³°s¡B¥Õ­J´Ô¡B¤­­»,¿}ÆQ,¦×¯×,»[¤ù,²Ð¿³°s¦×­»,¦×¯×,¤­­»­J´Ô,»[¤ù,¦×­»40%¡B²Ð¿³°s25%¡B¤­­»15%¡B¿}ÆQ10%¡B»[10%,5,4,4,2,4,3,4,4,°s­»¬O¨Ï¤]¬O§gªº¤@³¡¤À,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
«n§ë¿¤,5,¤s²£´ö,¤s²£¦×/Û£Ãþ,Á¤¡B­J´Ô,ÆQÂA´ö,¤Ö¶qªo,¤E¼h¶ð/ªàµæ,¤s²£¥D¨ý,´ö©³,Á¤­J´Ô,¯ó¥»²M­»,¥D¨ý40%¡B´ö©³25%¡BÁ¤15%¡B­J´Ô10%¡B²M­»10%,5,3,3,3,2,3,3,2,¥h¸{»P²M­»¥­¿Å,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¶³ªL¿¤,1,¥_´äÀn¦×¶º,Àn¦×¡B¦Ì¶º,Á¤¡B¤­­»¡B­J´Ô,Âæªoº±¥Ä,Ànªo/ªo½µ,»Äµæ/½µ,Àn¦×,º±¥Ä»P¶º,Á¤­J´Ô¤­­»,ªo½µ,Àn¦×40%¡BÂæªo25%¡BÁ¤»[15%¡Bªo½µ10%¡B¤­­»10%,5,4,4,2,5,2,4,5,Àn¦×¸{¯×»ÝÁ¤­×,https://www.moa.gov.tw/theme_data.php?id=4731&sub_theme=agri&theme=news
